 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)   Body Skin Friction      Nose Pressure Drag      Base Drag               Body Pressure Drag      Fin Pressure Drag       Interference Drag       Fin Skin Friction      
 0.00000000000000E+0000  3.96130692398827E-0001  3.76133501640898E-0001  2.47514862414477E-0001  0.00000000000000E+0000  1.59248721767672E-0002  1.45183528614350E-0002  1.99693650858345E-0005  3.89835908302801E-0002  7.91690447507824E-0002 
 3.00000000000000E-0002  3.72008407048091E-0001  3.51553805714132E-0001  2.36568666589709E-0001  0.00000000000000E+0000  1.62891335894708E-0002  1.38762874439319E-0002  1.99933492713967E-0005  3.72595649878791E-0002  6.79947610878295E-0002 
 6.00000000000000E-0002  3.47065826349428E-0001  3.26005345866743E-0001  2.23152990061025E-0001  0.00000000000000E+0000  1.67716287616588E-0002  1.30893709581165E-0002  2.01612349429051E-0005  3.51465959346115E-0002  5.88850793990731E-0002 
 9.00000000000000E-0002  3.32632758242343E-0001  3.11164828016248E-0001  2.14762727258039E-0001  0.00000000000000E+0000  1.70961035921895E-0002  1.25972275983777E-0002  2.06168926259786E-0005  3.38251295431411E-0002  5.43309533579703E-0002 
 1.20000000000000E-0001  3.22536477348655E-0001  3.00757817220030E-0001  2.08678134463587E-0001  0.00000000000000E+0000  1.73435550487054E-0002  1.22403267466621E-0002  2.15040918268796E-0005  3.28668061780149E-0002  5.13861508198588E-0002 
 1.50000000000000E-0001  3.14784782282638E-0001  2.92752366175759E-0001  2.03898959810590E-0001  0.00000000000000E+0000  1.75456350091714E-0002  1.19599971401012E-0002  2.29663845807514E-0005  3.21140861701680E-0002  4.92431377680259E-0002 
 1.80000000000000E-0001  3.08486859443574E-0001  2.86238006922493E-0001  1.99951205080002E-0001  0.00000000000000E+0000  1.77179953307932E-0002  1.17284357072645E-0002  2.51469426957305E-0005  3.14923148001004E-0002  4.75717615827174E-0002 
 2.10000000000000E-0001  3.03169506055600E-0001  2.80730351814197E-0001  1.96574098563336E-0001  0.00000000000000E+0000  1.78695431460753E-0002  1.15303464952418E-0002  2.81883491018673E-0005  3.09604205237255E-0002  4.62069089781191E-0002 
 2.40000000000000E-0001  2.98552508773478E-0001  2.75942207196934E-0001  1.93609449610323E-0001  0.00000000000000E+0000  1.80058372620091E-0002  1.13564505958591E-0002  3.22323439665826E-0005  3.04934883136258E-0002  4.50550506476949E-0002 
 2.70000000000000E-0001  2.94648363541478E-0001  2.71881419117086E-0001  1.90954442047473E-0001  0.00000000000000E+0000  1.81305806501973E-0002  1.12007171733438E-0002  3.74195265513084E-0005  3.00753246224770E-0002  4.42498795214353E-0002 
 3.00000000000000E-0001  2.91231123950457E-0001  2.68318789660596E-0001  1.88538733888261E-0001  0.00000000000000E+0000  1.82463626643517E-0002  1.10590202137205E-0002  4.38890141540892E-0005  2.96948505874011E-0002  4.36482675825684E-0002 
 3.30000000000000E-0001  2.88119813993437E-0001  2.65070982357165E-0001  1.86312257964504E-0001  0.00000000000000E+0000  1.83550630723428E-0002  1.09284229526783E-0002  5.17780599061643E-0005  2.93441806294094E-0002  4.31281113145957E-0002 
 3.60000000000000E-0001  2.85253946837402E-0001  2.62075745001781E-0001  1.84238241391226E-0001  0.00000000000000E+0000  1.84580877378100E-0002  1.08067684218853E-0002  6.12216316614656E-0005  2.90175230191180E-0002  4.26721046357017E-0002 
 3.90000000000000E-0001  2.82588303038304E-0001  2.59286505534143E-0001  1.82288979023834E-0001  0.00000000000000E+0000  1.85565138240996E-0002  1.06924315348263E-0002  7.23519547296071E-0005  2.87105141962539E-0002  4.22675125045597E-0002 
 4.20000000000000E-0001  2.80088320627753E-0001  2.56667644692801E-0001  1.80443154318021E-0001  0.00000000000000E+0000  1.86511833123221E-0002  1.05841619378496E-0002  8.52980217468165E-0005  2.84197968050883E-0002  4.19047262327248E-0002 
 4.50000000000000E-0001  2.77727090925558E-0001  2.54191413365952E-0001  1.78684075330884E-0001  0.00000000000000E+0000  1.87427654847830E-0002  1.04809805401862E-0002  1.00185073545251E-0004  2.81427418646143E-0002  4.15763426315452E-0002 
 4.80000000000000E-0001  2.75483334286132E-0001  2.51835854267773E-0001  1.76998475523198E-0001  0.00000000000000E+0000  1.88317999839908E-0002  1.03821091732209E-0002  1.17134055457563E-0004  2.78772598949037E-0002  4.12765556553604E-0002 
 5.10000000000000E-0001  2.73339996771906E-0001  2.49583360354205E-0001  1.75375675953893E-0001  0.00000000000000E+0000  1.89187272793217E-0002  1.02869214477618E-0002  1.36261054067263E-0004  2.76216689627381E-0002  4.10007420741249E-0002 
 5.40000000000000E-0001  2.71283253122270E-0001  2.47419650098630E-0001  1.73806985985267E-0001  0.00000000000000E+0000  1.90039107207055E-0002  1.01949076015121E-0002  1.57676719971934E-0004  2.73746002926795E-0002  4.07451718021348E-0002 
 5.70000000000000E-0001  2.69301783076830E-0001  2.45333023366796E-0001  1.72285265685202E-0001  0.00000000000000E+0000  1.90876528227643E-0002  1.01056488311206E-0002  1.81485682650129E-0004  2.71349293454193E-0002  4.05068007096730E-0002 
 6.00000000000000E-0001  2.67386236140342E-0001  2.43313810816947E-0001  1.70804600460718E-0001  0.00000000000000E+0000  1.91702075006635E-0002  1.00187982073277E-0002  2.07785963997624E-0004  2.69017245725631E-0002  4.02831194350719E-0002 
 6.30000000000000E-0001  2.64960908300174E-0001  2.40786038892187E-0001  1.69360055225523E-0001  0.00000000000000E+0000  1.92517894074488E-0002  9.93406625529751E-0003  2.36668397508162E-0004  2.66742086980198E-0002  3.95041203163769E-0002 
